Timestamp,How often do you come across online content that feels useful or interesting to your studies or interests?,Q2. Which platforms show you the most useful content? ,"When you see something valuable online, what do you usually do first?
",How do you usually save content that you want to keep? (Select all that apply),"On average, how many new items do you save in a week?
",Q6. How often do you open the section where your saved content is stored?,"When you open your saved section, what is your usual reason? (Select all that apply)",How easy is it for you to find a specific item you’ve saved before?,Where do you store most of your saved items?,How would you describe your collection of saved items?,"When you look at your saved list, what best describes your reaction?",When do you usually look through older content?, What usually happens to the content you save over time?,How helpful do you feel your current way of managing saved content is?,What kind of feature would make it easier to handle saved items? (Select all that apply)
11/13/2025 19:18:40,Several times a day,"YouTube, LinkedIn, WhatsApp / Telegram groups",OptionWatch or read it right away,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,once or twice a week,Looking for a specific item,Somewhat difficult,I don’t keep track,Somewhat organized,I feel like I have too many items,When I have free time,I check it once in a while,Somewhat helpful,Better organization tools
11/13/2025 19:29:26,Rarely,"YouTube, Instagram / Reels, Twitter / X",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,once or twice a month,Browsing casually,Very easy,I don’t keep track,Hard to manage,I find useful things to check again,When I have free time,I go back to it frequently,Neutral,Occasional reminders
11/13/2025 19:30:31,Once a day,Twitter / X,Skip it and move on,I don’t usually save content,more than 30,Every day,Organizing or deleting older items,Somewhat difficult,Spread across a few apps.,Well organized,I feel like I have too many items,When I need information for a task,It stays unused,Neutral,Occasional reminders
11/13/2025 19:35:23,Once a day,"YouTube, WhatsApp / Telegram groups, Google / Blogs",OptionWatch or read it right away,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a month,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I have free time,I check it once in a while,Very helpful,Grouping by topic
11/13/2025 19:44:25,Once a day,"YouTube, Instagram / Reels, LinkedIn, Google / Blogs, Other",Share it with someone,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,once or twice a month,Checking recent saves,Somewhat easy,Spread across a few apps.,Well organized,I find useful things to check again,When I’m reminded by something,I check it once in a while,Somewhat helpful,Visual dashboard or timeline
11/13/2025 21:43:43,Once a day,"YouTube, Other",Share it with someone,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Somewhat helpful,Occasional reminders
11/13/2025 22:30:03,A few times a week,YouTube,Save or mark it,Send to myself or a friend,0-5,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Somewhat helpful,Grouping by topic
11/14/2025 12:59:19,Several times a day,"YouTube, Instagram / Reels, WhatsApp / Telegram groups",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",6-15,once or twice a month,Browsing casually,Somewhat easy,Spread across a few apps.,Unorganized but manageable,I scroll through quickly,When I’m reminded by something,I check it once in a while,Neutral,Visual dashboard or timeline
11/14/2025 20:49:12,Several times a day,YouTube,Save or mark it,Save post or video on the same app,0-5,Every day,Looking for a specific item,Very easy,Mostly in one place,Well organized,I find useful things to check again,When I have free time,I go back to it frequently,Very helpful,Better organization tools
11/14/2025 20:49:46,Once a day,YouTube,Save or mark it,"Save post or video on the same app, Take a screenshot",0-5,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I scroll through quickly,When I need information for a task,I go back to it frequently,Very helpful,Better organization tools
11/14/2025 23:22:07,Several times a day,"YouTube, Instagram / Reels, LinkedIn, Twitter / X, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Send to myself or a friend, Take a screenshot",16-30,once or twice a week,Organizing or deleting older items,Very difficult,Mostly in one place,Somewhat organized,I scroll through quickly,When I’m reminded by something,I check it once in a while,Not helpful,Better organization tools
11/15/2025 15:55:19,A few times a week,"Instagram / Reels, LinkedIn",Save or mark it,"Save post or video on the same app, Take a screenshot",6-15,Hardly ever,Looking for a specific item,Very difficult,I don’t keep track,Hard to manage,I rarely open it,When I’m reminded by something,I forget about it,Very helpful,Better organization tools
11/16/2025 10:35:21,A few times a week,"YouTube, Google / Blogs",Save or mark it,"Send to myself or a friend, Bookmark it in browser",0-5,once or twice a week,Looking for a specific item,Somewhat easy,Spread across a few apps.,Unorganized but manageable,I scroll through quickly,When I need information for a task,It stays unused,Somewhat helpful,Quick search or filters
11/16/2025 15:33:19,Several times a day,"YouTube, LinkedIn, Twitter / X",Share it with someone,"Save post or video on the same app, Send to myself or a friend, Write it down in a note app",0-5,once or twice a week,Looking for a specific item,Somewhat easy,Spread across a few apps.,Unorganized but manageable,I scroll through quickly,When I need information for a task,It stays unused,Neutral,Grouping by topic
11/19/2025 7:24:56,Once a day,"YouTube, Instagram / Reels, LinkedIn",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",0-5,Hardly ever,Looking for a specific item,Somewhat easy,Mostly in one place,Unorganized but manageable,I scroll through quickly,When I need information for a task,It stays unused,Neutral,Occasional reminders
11/21/2025 20:02:23,Once a day,"YouTube, LinkedIn, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend",0-5,once or twice a month,Looking for a specific item,Somewhat difficult,I don’t keep track,Somewhat organized,I feel like I have too many items,When I need information for a task,I check it once in a while,Neutral,Quick search or filters
